student name,student id,student sis,course,course id,course sis,section,section id,section sis,term,term id,term sis,current score,final score,enrollment state,unposted current score,unposted final score,override score,current grade,final grade,unposted current grade,unposted final grade,override grade
David A. Wood,17223,H2020000457,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,91.22,91.22,concluded,91.22,91.22,,94,94,94,94,
Brenda E. Sanchez,17223,H2020001210,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,84.69,84.69,concluded,84.69,84.69,,90,90,90,90,
Robert T. Fowler,17223,H2020000391,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,67.73,67.73,concluded,67.73,67.73,,79,79,79,79,
Daniel L. Smith,17223,H2020000678,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,85.08,85.08,concluded,85.08,85.08,,90,90,90,90,
Michael L. Peck,17223,H2020000812,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,96.46,96.46,concluded,96.46,96.46,,97,97,97,97,
Michael T. Williams,17223,H2020000504,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,86.02,86.02,concluded,86.02,86.02,,91,91,91,91,
Amanda R. Boone,17223,H2020000522,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,88.17,88.17,concluded,88.17,88.17,,92,92,92,92,
John J. Grant,17223,H2020000793,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,82.55,82.55,concluded,82.55,82.55,,89,89,89,89,
Rhonda M. Peterson,17223,H2020000730,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,88.1,88.1,concluded,88.1,88.1,,92,92,92,92,
Thomas K. Coffey,17223,H2020000604,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,95.96,95.96,concluded,95.96,95.96,,97,97,97,97,
Amanda K. Erickson,17223,H2020000602,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,89.43,89.43,concluded,89.43,89.43,,93,93,93,93,
James S. Ryan,17223,H2020001166,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,86.08,86.08,concluded,86.08,86.08,,91,91,91,91,
Matthew K. Mcmillan,17223,H2020000039,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,82.71,82.71,concluded,82.71,82.71,,89,89,89,89,
Erin S. Johnson,17223,H2020000085,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,92.79,92.79,concluded,92.79,92.79,,95,95,95,95,
Matthew S. Mack,17223,H2020000659,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,97.89,97.89,concluded,97.89,97.89,,98,98,98,98,
Brandon M. Taylor,17223,H2020000048,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,91.64,91.64,concluded,91.64,91.64,,94,94,94,94,
William J. Duran,17223,H2020000036,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,87.99,87.99,concluded,87.99,87.99,,92,92,92,92,
Noah L. Baird,17223,H2020000336,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,91.43,91.43,concluded,91.43,91.43,,94,94,94,94,
Jill D. Brown,17223,H2020000184,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,95.65,95.65,concluded,95.65,95.65,,97,97,97,97,
Veronica D. Becker,17223,H2020000564,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,94.83,94.83,concluded,94.83,94.83,,96,96,96,96,
Tyrone V. Robertson,17223,H2020000489,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,87.31,87.31,concluded,87.31,87.31,,92,92,92,92,
Catherine J. Edwards,17223,H2020000392,General Biology 1,21601,INST_SY_2021_S2_GB1_FAC207,12 GAS SCI TECH 1,24026,INST_SY_2021_S2_GB1_FAC207_12GST01,INST SHS AY 2021-2022 2nd Semester,20002,SY_2021_S2_SHS_OFFICIAL,98.26,98.26,concluded,98.26,98.26,,98,98,98,98,
