student name,student id,student sis,course,course id,course sis,section,section id,section sis,term,term id,term sis,current score,final score,enrollment state,unposted current score,unposted final score,override score,current grade,final grade,unposted current grade,unposted final grade,override grade
Joshua K. Reynolds,14041,H2024000114,Pre-Calculus,20861,INST_SY_2024_S1_PCAL_FAC229,11STEM-2A,20385,INST_SY_2024_S1_PCAL_FAC229_11S02a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,72.88,72.88,active,72.88,72.88,,83,83,83,83,
Sarah C. Hernandez,14054,H2024000127,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-2B,20396,INST_SY_2024_S1_GMSTEM_FAC420_11S02b,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,89.65,89.65,active,89.65,89.65,,93,93,93,93,
Ashley D. Morrow,14027,H2024000101,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-2B,20396,INST_SY_2024_S1_GMSTEM_FAC420_11S02b,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,89.95,89.95,active,89.95,89.95,,93,93,93,93,
Jo D. Kelly,14067,H2024000141,Pre-Calculus,20861,INST_SY_2024_S1_PCAL_FAC229,11STEM-2A,20385,INST_SY_2024_S1_PCAL_FAC229_11S02a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,73.06,73.06,active,73.06,73.06,,83,83,83,83,
Danny S. Gross,14079,H2024000153,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-2B,20396,INST_SY_2024_S1_GMSTEM_FAC420_11S02b,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,74.7,74.7,active,74.7,74.7,,84,84,84,84,
Michele A. Lin,14078,H2024000152,Pre-Calculus,20861,INST_SY_2024_S1_PCAL_FAC229,11STEM-2A,20385,INST_SY_2024_S1_PCAL_FAC229_11S02a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,79.34,79.34,active,79.34,79.34,,87,87,87,87,
Brooke B. Lee,14095,H2024000167,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-2B,20396,INST_SY_2024_S1_GMSTEM_FAC420_11S02b,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,30.79,30.79,active,30.79,30.79,,67,67,67,67,
Courtney T. Franco,14055,H2024000128,Pre-Calculus,20861,INST_SY_2024_S1_PCAL_FAC229,11STEM-2A,20385,INST_SY_2024_S1_PCAL_FAC229_11S02a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,75.14,75.14,active,75.14,75.14,,84,84,84,84,
Angela L. Jordan,14070,H2024000144,Pre-Calculus,20861,INST_SY_2024_S1_PCAL_FAC229,11STEM-2A,20385,INST_SY_2024_S1_PCAL_FAC229_11S02a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,75.16,75.16,active,75.16,75.16,,84,84,84,84,
Sandra S. Lynch,14061,H2024000135,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-2B,20396,INST_SY_2024_S1_GMSTEM_FAC420_11S02b,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,67.44,67.44,active,67.44,67.44,,79,79,79,79,
Jose K. Ward,14761,H2024000801,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-11A,20271,INST_SY_2024_S1_GMSTEM_FAC420_11S11a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,96.33,96.33,active,96.33,96.33,,97,97,97,97,
Jordan P. Murphy,14051,H2024000124,Pre-Calculus,20861,INST_SY_2024_S1_PCAL_FAC229,11STEM-2A,20385,INST_SY_2024_S1_PCAL_FAC229_11S02a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,77.18,77.18,active,77.18,77.18,,85,85,85,85,
Christopher A. Walker,14026,H2024000100,Pre-Calculus,20861,INST_SY_2024_S1_PCAL_FAC229,11STEM-2A,20385,INST_SY_2024_S1_PCAL_FAC229_11S02a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,85.12,85.12,active,85.12,85.12,,90,90,90,90,
Nathan K. Dyer,14789,H2024000837,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-11A,20271,INST_SY_2024_S1_GMSTEM_FAC420_11S11a,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,78.42,78.42,active,78.42,78.42,,86,86,86,86,
Isaiah E. Poole,13987,H2024000062,General Mathematics (STEM),20850,INST_SY_2024_S1_GMSTEM_FAC420,11STEM-1B,20431,INST_SY_2024_S1_GMSTEM_FAC420_11S01b,INST SHS_AY 2024-2025_1st Semester_Official,20007,SY_2024_S1_SHS_OFFICIAL,69.58,69.58,active,69.58,69.58,,80,80,80,80,
