student name,student id,student sis,course,course id,course sis,section,section id,section sis,term,term id,term sis,current score,final score,enrollment state,unposted current score,unposted final score,override score,current grade,final grade,unposted current grade,unposted final grade,override grade
Danielle J. Johnson,17223,H2020000810,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,93.84,93.84,concluded,93.84,93.84,,96,96,96,96,
Jeffrey E. Doyle,17223,H2020000191,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,75.99,75.99,concluded,75.99,75.99,,84,84,84,84,
Patricia R. Miller,17223,H2020000816,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,95.09,95.09,concluded,95.09,95.09,,96,96,96,96,
Anthony W. Robinson,17223,H2020000208,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,60.94,60.94,concluded,60.94,60.94,,75,75,75,75,
Anthony D. Gonzalez,17223,H2020000831,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,83.88,83.88,concluded,83.88,83.88,,89,89,89,89,
Amy B. Robinson,17223,H2020000231,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,96.96,96.96,concluded,96.96,96.96,,98,98,98,98,
Lisa L. Smith,17223,H2020000239,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,85.1,85.1,concluded,85.1,85.1,,90,90,90,90,
Helen E. Peterson,17223,H2020000844,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,96.99,96.99,concluded,96.99,96.99,,98,98,98,98,
Susan C. Rogers,17223,H2020000247,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,82.93,82.93,concluded,82.93,82.93,,89,89,89,89,
Colin C. Abbott,17223,H2020000866,Business Finance,20803,INST_SY_2021_S1_BF_FAC115,12 ABM 1,21321,INST_SY_2021_S1_BF_FAC115_12A01,INST HS Manila AY 2021-2022 Annual,20001,SY_2021_S1_SHS_OFFICIAL,96.66,96.66,concluded,96.66,96.66,,97,97,97,97,
