student name,student id,student sis,course,course id,course sis,section,section id,section sis,term,term id,term sis,current score,final score,enrollment state,unposted current score,unposted final score,override score,current grade,final grade,unposted current grade,unposted final grade,override grade
Brandon D. Steele,12539,H2023000475,Practical Research 1,20598,INST_SY_2023_S2_PR1_FAC130,11ABM-1b,27123,INST_SY_2023_S2_PR1_FAC130_11A01b,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,93.52,93.52,concluded,93.52,93.52,,95,95,95,95,
Anna A. Vincent,10732,H2022000327,Business Finance,20610,INST_SY_2023_S2_BF_FAC212,12ABM-2a,27249,INST_SY_2023_S2_BF_FAC212_12A02a,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,87.86,87.86,concluded,87.86,87.86,,92,92,92,92,
Jacqueline J. Conner,10604,H2022000200,Business Finance,20610,INST_SY_2023_S2_BF_FAC212,12ABM-2a,27249,INST_SY_2023_S2_BF_FAC212_12A02a,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,78.9,78.9,concluded,78.9,78.9,,86,86,86,86,
Amber R. Perez,12360,H2023000229,Practical Research 1,20598,INST_SY_2023_S2_PR1_FAC130,11ABM-1b,27123,INST_SY_2023_S2_PR1_FAC130_11A01b,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,81.97,81.97,concluded,81.97,81.97,,88,88,88,88,
Barry H. Powers,10752,H2022000347,Business Finance,20610,INST_SY_2023_S2_BF_FAC212,12ABM-2a,27249,INST_SY_2023_S2_BF_FAC212_12A02a,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,90.2,90.2,concluded,90.2,90.2,,93,93,93,93,
Thomas B. Massey,12228,H2023000083,Practical Research 1,20598,INST_SY_2023_S2_PR1_FAC130,11ABM-1b,27123,INST_SY_2023_S2_PR1_FAC130_11A01b,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,90.71,90.71,concluded,90.71,90.71,,94,94,94,94,
Jennifer C. David,12459,H2023000263,Practical Research 1,20598,INST_SY_2023_S2_PR1_FAC130,11ABM-1b,27123,INST_SY_2023_S2_PR1_FAC130_11A01b,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,88.35,88.35,concluded,88.35,88.35,,92,92,92,92,
Nathaniel J. Winters,10769,H2022000384,Business Finance,20610,INST_SY_2023_S2_BF_FAC212,12ABM-2a,27249,INST_SY_2023_S2_BF_FAC212_12A02a,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,90,90,concluded,90,90,,93,93,93,93,
Isaac T. Armstrong,12766,H2023000607,Practical Research 1,20598,INST_SY_2023_S2_PR1_FAC130,11ABM-1a,27116,INST_SY_2023_S2_PR1_FAC130_11A01a,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,95.03,95.03,concluded,95.03,95.03,,96,96,96,96,
Stephanie J. Stafford,11113,H2022000671,Business Finance,20610,INST_SY_2023_S2_BF_FAC212,12ABM-2a,27249,INST_SY_2023_S2_BF_FAC212_12A02a,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,72.21,72.21,concluded,72.21,72.21,,82,82,82,82,
Andrew D. Trujillo,10523,H2022000125,Business Finance,20610,INST_SY_2023_S2_BF_FAC212,12ABM-2a,27249,INST_SY_2023_S2_BF_FAC212_12A02a,INST SHS_AY 2023-2024_2nd Semester_Official,20006,SY_2023_S2_SHS_OFFICIAL,66.42,66.42,concluded,66.42,66.42,,79,79,79,79,
